,long,lat,group,order,region,subregion,generalRegion
1,-83.66902161,39.02988815,2012,59960,ohio,adams,Southwest
2,-83.56589508,39.02988815,2012,59961,ohio,adams,Southwest
3,-83.37109375,39.06426239,2012,59962,ohio,adams,Southwest
4,-83.30805969,39.06426239,2012,59963,ohio,adams,Southwest
5,-83.30233002,39.05280304,2012,59964,ohio,adams,Southwest
6,-83.25649261,39.01842499,2012,59965,ohio,adams,Southwest
7,-83.25076294,38.64027023,2012,59966,ohio,adams,Southwest
8,-83.29087067,38.62308502,2012,59967,ohio,adams,Southwest
9,-83.31952667,38.64027023,2012,59968,ohio,adams,Southwest
10,-83.37109375,38.6746521,2012,59969,ohio,adams,Southwest
11,-83.4455719,38.69184113,2012,59970,ohio,adams,Southwest
12,-83.52578735,38.71475983,2012,59971,ohio,adams,Southwest
13,-83.61746216,38.6975708,2012,59972,ohio,adams,Southwest
14,-83.64611053,38.66318893,2012,59973,ohio,adams,Southwest
15,-83.66902161,38.6517334,2012,59974,ohio,adams,Southwest
16,-83.70912933,38.66318893,2012,59975,ohio,adams,Southwest
17,-83.66902161,39.02988815,2012,59976,ohio,adams,Southwest
18,-83.88101959,40.82897186,2013,59978,ohio,allen,Northwest
19,-83.88101959,40.64562607,2013,59979,ohio,allen,Northwest
20,-84.11592865,40.65135574,2013,59980,ohio,allen,Northwest
21,-84.11592865,40.66281509,2013,59981,ohio,allen,Northwest
22,-84.23052979,40.66281509,2013,59982,ohio,allen,Northwest
23,-84.23052979,40.69146347,2013,59983,ohio,allen,Northwest
24,-84.39668274,40.68000412,2013,59984,ohio,allen,Northwest
25,-84.40241241,40.82324219,2013,59985,ohio,allen,Northwest
26,-84.35084534,40.82324219,2013,59986,ohio,allen,Northwest
27,-84.35084534,40.85762024,2013,59987,ohio,allen,Northwest
28,-84.11592865,40.86907959,2013,59988,ohio,allen,Northwest
29,-84.11592865,40.90918732,2013,59989,ohio,allen,Northwest
30,-83.9956131,40.91491699,2013,59990,ohio,allen,Northwest
31,-83.9956131,40.93210602,2013,59991,ohio,allen,Northwest
32,-83.88101959,40.92637253,2013,59992,ohio,allen,Northwest
33,-83.88101959,40.82897186,2013,59993,ohio,allen,Northwest
34,-82.12776947,41.00658798,2014,59995,ohio,ashland,Northeast
35,-82.12776947,40.68000412,2014,59996,ohio,ashland,Northeast
36,-82.22517395,40.68000412,2014,59997,ohio,ashland,Northeast
37,-82.22517395,40.58259964,2014,59998,ohio,ashland,Northeast
38,-82.33403778,40.56541061,2014,59999,ohio,ashland,Northeast
39,-82.33403778,40.73730087,2014,60000,ohio,ashland,Northeast
40,-82.38559723,40.74876022,2014,60001,ohio,ashland,Northeast
41,-82.38559723,40.80605316,2014,60002,ohio,ashland,Northeast
42,-82.40278625,40.81751633,2014,60003,ohio,ashland,Northeast
