State,State_ID,District_ID,District_Name,County,County_FIPS
OH,39,04518,Ada Exempted Village School District,Hancock County,063
OH,39,04518,Ada Exempted Village School District,Hardin County,065
OH,39,06190,Adams County/Ohio Valley Local School District,Adams County,001
OH,39,06190,Adams County/Ohio Valley Local School District,Highland County,071
OH,39,04949,Adena Local School District,Pickaway County,129
OH,39,04949,Adena Local School District,Ross County,141
OH,39,04348,Akron City School District,Summit County,153
OH,39,04590,Alexander Local School District,Athens County,009
OH,39,04590,Alexander Local School District,Meigs County,105
OH,39,04590,Alexander Local School District,Vinton County,163
OH,39,04575,Allen East Local School District,Allen County,003
OH,39,04349,Alliance City School District,Columbiana County,029
OH,39,04349,Alliance City School District,Mahoning County,099
OH,39,04349,Alliance City School District,Stark County,151
OH,39,04684,Amanda-Clearcreek Local School District,Fairfield County,045
OH,39,04519,Amherst Exempted Village School District,Lorain County,093
OH,39,10004,Anna Local School District,Shelby County,149
OH,39,04662,Ansonia Local School District,Darke County,037
OH,39,04820,Anthony Wayne Local School District,Lucas County,095
OH,39,04820,Anthony Wayne Local School District,Wood County,173
OH,39,04899,Antwerp Local School District,Paulding County,125
OH,39,10002,Arcadia Local School District,Hancock County,063
OH,39,04663,Arcanum-Butler Local School District,Darke County,037
OH,39,04704,Archbold Area Local School District,Fulton County,051
OH,39,04704,Archbold Area Local School District,Henry County,069
OH,39,04742,Arlington Local School District,Hancock County,063
OH,39,04350,Ashland City School District,Ashland County,005
OH,39,04350,Ashland City School District,Richland County,139
OH,39,04351,Ashtabula Area City School District,Ashtabula County,007
OH,39,04352,Athens City School District,Athens County,009
OH,39,04917,Aurora City School District,Portage County,133
OH,39,04917,Aurora City School District,Summit County,153
OH,39,04829,Austintown Local School District,Mahoning County,099
OH,39,04812,Avon Lake City School District,Lorain County,093
OH,39,04811,Avon Local School District,Lorain County,093
OH,39,04670,Ayersville Local School District,Defiance County,039
OH,39,04353,Barberton City School District,Summit County,153
OH,39,04520,Barnesville Exempted Village School District,Belmont County,013
OH,39,04630,Batavia Local School District,Clermont County,025
OH,39,04576,Bath Local School District,Allen County,003
OH,39,04354,Bay Village City School District,Cuyahoga County,035
OH,39,04355,Beachwood City School District,Cuyahoga County,035
OH,39,04642,Beaver Local School District,Columbiana County,029
OH,39,04724,Beavercreek City School District,Greene County,057
OH,39,04724,Beavercreek City School District,Montgomery County,113
OH,39,10017,Bedford City School District,Cuyahoga County,035
OH,39,04357,Bellaire Local School District,Belmont County,013
OH,39,04727,Bellbrook-Sugarcreek Local School District,Greene County,057
OH,39,04727,Bellbrook-Sugarcreek Local School District,Warren County,165
OH,39,04358,Bellefontaine City School District,Logan County,091
OH,39,04359,Bellevue City School District,Erie County,043
OH,39,04359,Bellevue City School District,Huron County,077
OH,39,04359,Bellevue City School District,Sandusky County,143
OH,39,04359,Bellevue City School District,Seneca County,147
OH,39,04361,Belpre City School District,Washington County,167
